"country","diff_UHE_ADL.x","diff_HE_ADL.x","diff_UHE_CHR.x","diff_HE_CHR.x","diff_UHE_GALI.x","diff_HE_GALI.x","diff_UHE_SR.x","diff_HE_SR.x"
"AUT",1.63464403481302,-2.3416136429275,4.2286527933601,0.25239511561959,2.96899055789051,-1.00726711985,2.4898564537988,-1.4864012239418
"BEL",2.74691126758256,-1.2013422730538,3.984113896983,0.0358603563467002,2.1262775136469,-1.8219760269894,2.23625920094536,-1.711994339691
"BGR",1.55401913752424,-4.1759649450293,6.0544369943698,0.324452911816371,1.61869367371362,-4.1112904088399,4.62796085947823,-1.1020232230752
"CHE",0.78338118116799,-2.6528973146029,-1.0122568406609,-4.44853533643178,-0.913608561817489,-4.3498870575883,0.81797846758636,-2.6183000281845
"CZE",1.28351544517962,-3.6626335504861,3.7981073700545,-1.1480416256112,0.91956309968666,-4.0265858959791,2.4065831362255,-2.5395658594402
"DEUTNP",1.60030662584118,-2.5599879747756,3.3376154700922,-0.8226791305245,2.10035334890781,-2.0599412517089,3.2166740721672,-0.9436205284495
"DNK",0.32531142939125,-3.0913614135233,3.2228723036759,-0.193800539238659,1.3886184559634,-2.0280543869512,2.29028202270552,-1.1263908202091
"ESP",0.5516676551201,-4.3635218153948,3.1646647173001,-1.75052475321486,2.24201573403683,-2.673173736478,5.6768287614326,0.761639290917699
"EST",1.98993604032612,-5.0519759946208,6.7343496734564,-0.30756236149054,2.35845489583677,-4.6834571391102,5.5182245915426,-1.52368744340435
"FIN",1.0824415942387,-3.485731985284,3.8734893556241,-0.69468422389857,0.44811088656774,-4.120062692955,1.4391487598323,-3.1290248196905
"FRATNP",1.40770744567618,-3.6470614055134,5.4382260632808,0.38345721209105,1.10079012679284,-3.9539787243968,2.6105278190534,-2.4442410321364
"GRC",1.40224859063067,-2.8274962494558,5.2128459564469,0.9831011163604,1.23713335372081,-2.9926114863657,4.16583507231787,-0.0639097677685996
"HRV",1.94097349491764,-3.0983739218175,5.694900194043,0.65555277730794,1.5735060094505,-3.4658414072846,4.3895540444823,-0.6497933722528
"HUN",1.1989168705146,-4.6710744614914,8.6598427144473,2.78985138244124,2.83445267797679,-3.0355386540292,7.3749766489462,1.5049853169402
"ITA",2.68078948048193,-1.1613723197831,4.2490023378283,0.4068405375632,2.0349798972908,-1.8071819029742,5.2632338981031,1.4210720978381
"LTU",2.535305133759,-4.9218567590924,8.3952459684707,0.93808407561926,1.3457454647654,-6.111416428086,7.0258643492893,-0.431297543562099
"LUX",0.1904467617629,-3.454705233675,3.2753772918508,-0.369774703587161,0.73839361912856,-2.9067583763094,3.1955986257125,-0.449553369725301
"LVA",2.31907240331121,-5.1407033426871,8.4343563993399,0.97458065334157,1.5333190318662,-5.926456714132,7.6515318319678,0.191756085969519
"POL",1.83287312380453,-4.3292278592075,6.9195458465194,0.757444863507461,2.26466067180677,-3.8974403112052,4.5346294876539,-1.6274714953581
"SVK",1.9143125247675,-3.7740399672918,7.9127491020646,2.2243966100052,2.63373159178339,-3.0546209002759,5.00950192651943,-0.678850565539999
"SVN",0.50768316473672,-4.537785911846,4.8133236229636,-0.232145453619109,1.47549424302352,-3.5699748335592,2.7214221974441,-2.3240468791386
"SWE",0.60965946164563,-2.1452147009975,2.9456628984545,0.190788735811321,1.80859072329933,-0.946283439343798,2.60019821852958,-0.154675944113503
"PRT",3.82910621342958,-1.3145318038105,8.0263485250106,2.8827105077704,2.69346965271781,-2.4501683645224,7.9026514078748,2.7590133906346
