"country","diff_UHE_adl.x","diff_HE_adl.x","diff_UHE_chr.x","diff_HE_chr.x","diff_UHE_gal.x","diff_HE_gal.x","diff_UHE_sr.x","diff_HE_sr.x"
"AUT",1.16133965204118,-2.81491802569935,5.07554145103594,1.09928377329541,3.34892816142489,-0.627329516315637,2.38165509828903,-1.59460257945149
"BEL",1.96735265758824,-1.98090088304808,2.91300418843383,-1.03524935220249,1.83251862074454,-2.11573491989178,0.0861788417936467,-3.86207469884268
"CZE",0.749393161944025,-4.19675583372165,3.88982444932825,-1.05632454633743,1.18741302430925,-3.75873597135643,2.0518741298133,-2.89427486585238
"DEUTNP",0.409581332757907,-3.75071326785883,1.89732908736213,-2.26296551325461,1.37751937317711,-2.78277522743963,1.74524370757039,-2.41505089304635
"DNK",0.0608517042688281,-3.3558211386458,1.85765489271666,-1.55901795019797,0.976971563358583,-2.43970127955605,2.50733959859309,-0.909333244321541
"ESP",4.02846651870874,-0.886722951806167,4.89632946729244,-0.0188600032224677,2.3374086214311,-2.5777808490838,4.19805841492382,-0.717131055591082
"EST",1.75905264831464,-5.2828593866323,5.55987079141748,-1.48204124352946,2.75653489981945,-4.28537713512749,5.81847087573194,-1.223441159215
"FRATNP",1.30856539456413,-3.74620345662554,5.26021639369948,0.205447542509816,0.740516491455227,-4.31425235973444,2.61385110875778,-2.44091774243189
"GRC",0.996564956808311,-3.23317988327821,5.81676630433589,1.58702146424937,1.2669518286099,-2.96279301147662,2.96374408630742,-1.26600075377909
"HRV",1.60784460352094,-3.43150281321417,4.19689079679905,-0.842456619936062,1.65092098719034,-3.38842642954477,3.95170385003876,-1.08764356669635
"ITA",2.35907451317186,-1.4830872870932,5.32069312576675,1.47853132550169,2.21975416918855,-1.62240763107651,4.51521066813738,0.673048867872318
"POL",1.25977200497519,-4.90232897803677,5.16008017614436,-1.0020208068676,0.607753206458078,-5.55434777655388,2.61352028699402,-3.54858069601794
"SWE",0.00507928224045351,-2.74979488040268,1.80219959280302,-0.952674569840109,1.84092723097198,-0.913946931671155,1.0630777407242,-1.69179642191893
