"gap1","gap2","","gap","country","dimension"
"-0.00293410071519995","-0.15173410263922","-0.07733410167721","1.10280122153492","AT","adl"
"-0.00293410071519995","-0.15173410263922","-0.07733410167721","1.10280122153492","AT","adl"
"1.47151935863673","0.95138238943336","1.21145087403504","3.00065787248149","AT","gal"
"-0.0670904458521004","-0.26931902294077","-0.168204734396435","2.59099818075635","AT","sr"
"0.90753940172678","0.66039347925715","0.783966440491965","1.65596278781528","BE","adl"
"0.67614215726009","0.54147482186238","0.608808489561235","1.4745360080204","BE","gal"
"-1.073101653504","-0.924169403573909","-0.998635528538955","0.7613467415807","BE","sr"
"-0.416292630237761","-0.2220341994841","-0.31916341486093","0.75143400984986","CZ","adl"
"0.10920636750579","0.03470772654912","0.0719570470274549","1.1644302767046","CZ","gal"
"0.846859066108681","0.71192432198021","0.779391694044445","2.26830630867521","CZ","sr"
"-1.23353858565279","-0.7209448503012","-0.977241717976995","0.58266113677228","DE","adl"
"-0.33344085562843","-0.30678075148127","-0.32011080355485","1.57244784135541","DE","gal"
"-0.145489881078397","-0.514821166260699","-0.330155523669548","2.869813710272","DE","sr"
"-0.74040188006503","-0.50805631729776","-0.624229098681395","-0.24062743998217","DK","adl"
"-0.0539164458283801","-0.0991363459294901","-0.0765263958789351","0.4312715158065","DK","gal"
"0.40050727092764","0.27282987208231","0.336668571504975","1.55946974556384","DK","sr"
"-0.269718190903061","-0.03553649492288","-0.15262734291297","1.87046737721847","EE","adl"
"-0.12239270700625","0.0153298782975","-0.0535314143543753","2.79088264668806","EE","gal"
"-0.118752325196901","-0.120535799993499","-0.1196440625952","6.3199495563368","EE","sr"
"1.95051644668079","1.27337668077607","1.61194656372843","2.7529372136472","ES","adl"
"0.74457066728326","0.0983650442689998","0.42146785577613","1.48277187509956","ES","gal"
"0.7501896302134","0.390710895803499","0.57045026300845","4.0380850053106","ES","sr"
"0.0768450608292204","0.3139828215957","0.19541394121246","1.12318848421343","FR","adl"
"-1.24099338510798","-0.35621994312664","-0.79860666411731","0.61901330130396","FR","gal"
"-0.529023167403","-0.264998806261","-0.397010986832","2.2462311687841","FR","sr"
"0.11761869524743","0.0753602738199302","0.0964894845336801","0.77887386752813","GR","adl"
"0.45601841373803","0.238505179200848","0.347261796469439","0.904137362010458","GR","gal"
"0.7017232087452","0.5017170003305","0.60172010453785","3.10583545143831","GR","sr"
"0.26337255121488","0.17877660589463","0.221074578554755","1.22272528854851","HR","adl"
"0.22132539408787","0.15380793892911","0.18756666650849","1.2633932634016","HR","gal"
"0.882045138358201","0.493413487397101","0.687729312877651","3.1548382855738","HR","sr"
"1.21937920748933","1.02053131999941","1.11995526374437","1.53007025693409","IT","adl"
"0.91462087932722","0.85050202654164","0.88256145293443","1.2090053380791","IT","gal"
"1.7505618413197","1.5242461532003","1.63740399726","2.910616937487","IT","sr"
"-0.27790561367316","-0.26395488284948","-0.27093024826132","0.73994680804999","PL","adl"
"-1.347916800915","-1.35906581925993","-1.35349131008747","-0.0323285189903899","PL","gal"
"-1.1614973417623","-0.882898591464901","-1.0221979666136","2.035549155456","PL","sr"
"-0.45173967830505","-0.39474510733559","-0.42324239282032","-0.10711905754713","SE","adl"
"0.922692996885041","0.85186430201635","0.887278649450695","1.59518420916463","SE","gal"
"-0.444146544369499","-0.36295701467154","-0.403551779520519","0.881684434189721","SE","sr"
