"country","sex","UHE_adl","UHE_chr","UHE_gal","UHE_sr","ex","HE_adl","HE_chr","HE_gal","HE_sr"
"AUT","F",3.80766834540742,26.9919835969226,7.66752432738812,12.4354826202477,34.9501561128911,31.1424877674836,7.95817251596841,27.2826317855029,22.5146734926433
"BEL","F",5.81091162818108,28.6706406806465,6.21036273232277,12.5431616023532,34.8937162418391,29.082804613658,6.22307556119259,28.6833535095163,22.3505546394859
"CZE","F",4.0475294081641,28.4365506416844,4.94560913875696,7.2528571199435,32.9665185882738,28.9189891801097,4.52996794658942,28.0209094495169,25.7136614683303
"DEUTNP","F",4.18638917771802,28.8029617145019,7.46156984662734,16.1871088389689,34.4284618766679,30.2420726989499,5.62550016216603,26.9668920300406,18.241353037699
"DNK","F",2.83298950079118,24.7192342966668,4.19366417947017,11.2231473341841,34.1756622939105,31.3426727931193,9.45642799724363,29.9819981144403,22.9525149597264
"ESP","F",6.64769789747506,29.6503748799633,4.66589061260436,16.7720180012217,36.6109142740786,29.9632163766035,6.96053939411525,31.9450236614742,19.8388962728569
"EST","F",5.08880808602018,26.3775546758317,9.02472914565481,23.9426612399564,33.6149024926536,28.5260944066334,7.23734781682182,24.5901733469987,9.67224125269712
"FRATNP","F",3.79753470271322,29.5695436606475,4.82163784017699,13.909084233712,36.6016305962123,32.8040958934991,7.03208693556482,31.7799927560354,22.6925463625004
"GRC","F",2.43116450120413,24.9381672135597,2.38713250867382,10.2877218504837,34.8235030001225,32.3923384989183,9.88533578656272,32.4363704914486,24.5357811496388
"HRV","F",4.54402658461822,26.2011257255187,6.09192971510293,15.3111124703723,32.0889854834741,27.5449588988559,5.88785975795539,25.9970557683712,16.7778730131018
"ITA","F",4.65884903110097,26.050517385868,6.49045310398239,17.089781427567,35.8649064525333,31.2060574214324,9.81438906666531,29.3744533485509,18.7751250249664
"POL","F",4.8685197361274,26.6029414023826,7.46469259490155,16.470380439479,32.8661399502088,27.9976202140814,6.26319854782626,25.4014473553073,16.3957595107298
"SWE","F",2.58831181982258,25.9891737792393,5.8372346716631,10.3870243889059,35.1333129397369,32.5450011199143,9.14413916049761,29.2960782680738,24.746288550831
"AUT","M",2.64632869336624,21.9164421458867,4.31859616596323,10.0538275219587,30.9738984351505,28.3275697417843,9.05745628926383,26.6553022691873,20.9200709131918
"BEL","M",3.84355897059284,25.7576364922127,4.37784411157822,12.4569827605596,30.9454627012028,27.1019037306099,5.1878262089901,26.5676185896246,18.4884799406432
"CZE","M",3.29813624622008,24.5467261923562,3.75819611444771,5.2009829901302,28.0203695926081,24.7222333463881,3.47364340025199,24.2621734781604,22.819386602478
"DEUTNP","M",3.77680784496011,26.9056326271398,6.08405047345022,14.4418651313985,30.2681672760512,26.4913594310911,3.36253464891142,24.184116802601,15.8263021446527
"DNK","M",2.77213779652235,22.8615794039502,3.21669261611158,8.71580773559097,30.7589894509958,27.9868516544735,7.89741004704566,27.5422968348843,22.0431817154049
"ESP","M",2.61923137876632,24.7540454126709,2.32848199117326,12.5739595862979,31.6957248035637,29.0764934247974,6.94167939089278,29.3672428123904,19.1217652172658
"EST","M",3.32975543770554,20.8176838844143,6.26819424583536,18.1241903642245,26.5729904577066,23.2432350200011,5.75530657329236,20.3047962118713,8.44880009348213
"FRATNP","M",2.4889693081491,24.309327266948,4.08112134872176,11.2952331249542,31.5468617450227,29.0578924368736,7.23753447807463,27.4657403963009,20.2516286200685
"GRC","M",1.43459954439582,19.1214009092238,1.12018068006392,7.32397776417627,30.5937581600359,29.1591586156401,11.4723572508121,29.473577479972,23.2697803958597
"HRV","M",2.93618198109728,22.0042349287197,4.44100872791259,11.3594086203336,27.049638066739,24.1134560856417,5.04540313801932,22.6086293388264,15.6902294464054
"ITA","M",2.29977451792911,20.7298242601013,4.27069893479384,12.5745707594296,32.0227446522683,29.7229701343392,11.292920392167,27.7520457174744,19.4481738928387
"POL","M",3.60874773115221,21.4428612262382,6.85693938844347,13.856860152485,26.7040389671969,23.0952912360447,5.26117774095866,19.8470995787534,12.8471788147118
"SWE","M",2.58323253758212,24.1869741864363,3.99630744069112,9.32394664818168,32.3784387770938,29.7952062395117,8.1914645906575,28.3821313364027,23.0544921289121
