"V1","V2"
"0.78711","ATFadl"
"0.23347","ATFchr"
"0.85852","ATFgali"
"0.78711","ATFsr"
"1.00000","ATMadl"
"0.00000","ATMchr"
"0.32303","ATMgali"
"0.32303","ATMsr"
"0.86071","BEFadl"
"0.26000","BEFchr"
"0.80853","BEFgali"
"0.74506","BEFsr"
"0.94756","BEMadl"
"0.28152","BEMchr"
"0.92478","BEMgali"
"0.74951","BEMsr"
"0.98847","CZFadl"
"0.28635","CZFchr"
"0.98847","CZFgali"
"0.56089","CZFsr"
"1.00000","CZMadl"
"0.02033","CZMchr"
"1.00000","CZMgali"
"0.97967","CZMsr"
"0.91409","DEFadl"
"0.24671","DEFchr"
"0.82119","DEFgali"
"0.61127","DEFsr"
"1.00000","DEMadl"
"0.48005","DEMchr"
"1.00000","DEMgali"
"1.00000","DEMsr"
"0.92753","DKFadl"
"0.39202","DKFchr"
"0.89328","DKFgali"
"0.77194","DKFsr"
"0.92944","DKMadl"
"0.41614","DKMchr"
"0.96222","DKMgali"
"0.85639","DKMsr"
"0.94429","EEFadl"
"0.42686","EEFchr"
"0.86734","EEFgali"
"0.59532","EEFsr"
"0.93289","EEMadl"
"0.35847","EEMchr"
"0.81840","EEMgali"
"0.57129","EEMsr"
"0.99944","ESFadl"
"0.42687","ESFchr"
"1.00000","ESFgali"
"0.71448","ESFsr"
"1.00000","ESMadl"
"0.00364","ESMchr"
"1.00000","ESMgali"
"0.00364","ESMsr"
"1.00000","FRFadl"
"0.36893","FRFchr"
"0.89922","FRFgali"
"0.83912","FRFsr"
"0.95059","FRMadl"
"0.29584","FRMchr"
"0.95059","FRMgali"
"0.70591","FRMsr"
"1.00000","GRFadl"
"0.61904","GRFchr"
"1.00000","GRFgali"
"0.90371","GRFsr"
"0.97900","GRMadl"
"0.63587","GRMchr"
"0.97900","GRMgali"
"0.97900","GRMsr"
"1.00000","HRFadl"
"0.28045","HRFchr"
"0.89583","HRFgali"
"0.63952","HRFsr"
"1.00000","HRMadl"
"0.57501","HRMchr"
"0.91085","HRMgali"
"0.75298","HRMsr"
"0.84786","ITFadl"
"0.47931","ITFchr"
"0.79524","ITFgali"
"0.85998","ITFsr"
"0.99387","ITMadl"
"0.46771","ITMchr"
"0.94477","ITMgali"
"0.94477","ITMsr"
"0.97256","PLFadl"
"0.32450","PLFchr"
"0.90338","PLFgali"
"0.64930","PLFsr"
"0.92499","PLMadl"
"0.59602","PLMchr"
"0.87917","PLMgali"
"0.58176","PLMsr"
"1.00000","SEFadl"
"0.53465","SEFchr"
"0.82540","SEFgali"
"0.82540","SEFsr"
"1.00000","SEMadl"
"0.60233","SEMchr"
"1.00000","SEMgali"
"0.94904","SEMsr"
