"cont_mort","cont_prev","country","health"
"1.03628666527358","0.598357369539452","AUT","prevADL"
"2.02053573611013","0.469320717688653","AUT","prevSR"
"1.20048631859479","1.76850423929572","AUT","prevGALI"
"3.41976302618072","0.80888976717938","AUT","prevchr"
"1.15637837715085","1.59053289043172","BEL","prevADL"
"1.52200018253222","0.71425901841307","BEL","prevSR"
"0.976427057572245","1.14985045607464","BEL","prevGALI"
"3.53707634871463","0.447037548268284","BEL","prevchr"
"1.42196591496552","0.132053222558693","BGR","prevADL"
"3.0857662826052","1.54219457687312","BGR","prevSR"
"1.30897654212107","0.309717131592551","BGR","prevGALI"
"4.86974102746748","1.18469596690236","BGR","prevchr"
"0.467837527658308","0.315543653509676","CHE","prevADL"
"1.06026162398738","-0.242283156401045","CHE","prevSR"
"0.499474122386973","-1.41308268420447","CHE","prevGALI"
"2.76838539851603","-3.78064223917688","CHE","prevchr"
"1.23013621248348","0.0533792326961309","CZE","prevADL"
"2.02531467885349","0.381268457371993","CZE","prevSR"
"1.29931429566927","-0.379751195982607","CZE","prevGALI"
"4.45964222454101","-0.661534854486451","CZE","prevchr"
"1.06675537135798","0.533551254483204","DEUTNP","prevADL"
"2.31873132662499","0.897942745542242","DEUTNP","prevSR"
"1.27803845057611","0.822314898331685","DEUTNP","prevGALI"
"3.73796521645695","-0.400349746364736","DEUTNP","prevchr"
"0.714488435470594","-0.389177006079352","DNK","prevADL"
"1.35971179809562","0.93057022460985","DNK","prevSR"
"0.655209530351778","0.733408925611621","DNK","prevGALI"
"2.80941428919484","0.413458014481151","DNK","prevchr"
"1.57320463747976","-1.02153698235966","ESP","prevADL"
"3.0328198100227","2.64400895140989","ESP","prevSR"
"0.844143170961155","1.39787256307564","ESP","prevGALI"
"4.52285234160911","-1.35818762430906","ESP","prevchr"
"1.67982399957996","0.310112040746136","EST","prevADL"
"5.73921990835668","-0.220995316813902","EST","prevSR"
"2.76880856958736","-0.410353673750558","EST","prevGALI"
"6.16169765631824","0.5726520171382","EST","prevchr"
"0.83107877513864","0.251362819100076","FIN","prevADL"
"2.73868944630295","-1.29954068647073","FIN","prevSR"
"1.14441205105112","-0.696301164483357","FIN","prevGALI"
"4.18957912567926","-0.316089770055022","FIN","prevchr"
"1.35303666124148","0.0546707844346899","FRATNP","prevADL"
"2.62046190927779","-0.00993409022451885","FRATNP","prevSR"
"1.56836587567174","-0.467575748878916","FRATNP","prevGALI"
"4.52730146117954","0.910924602101154","FRATNP","prevchr"
"0.576965610096728","0.825282980533943","GRC","prevADL"
"2.22834270832189","1.93749236399597","GRC","prevSR"
"0.537282573218697","0.699850780502106","GRC","prevGALI"
"3.81215111818205","1.40069483826491","GRC","prevchr"
"1.21395176603015","0.727021728887501","HRV","prevADL"
"2.80385084188728","1.58570320259503","HRV","prevSR"
"1.39166002076456","0.181845988685938","HRV","prevGALI"
"4.45432213941684","1.24057805462617","HRV","prevchr"
"1.11001924481246","0.0888976257021421","HUN","prevADL"
"4.02540961950611","3.34956702944015","HUN","prevSR"
"1.62230370621835","1.21214897175844","HUN","prevGALI"
"5.20032715182916","3.45951556261798","HUN","prevchr"
"1.20962123725219","1.47116824322974","ITA","prevADL"
"2.44431611445008","2.81891778365306","ITA","prevSR"
"1.22734152870014","0.807638368590667","ITA","prevGALI"
"3.40648327192678","0.842519065901421","ITA","prevchr"
"1.92464288655214","0.610662247206849","LTU","prevADL"
"5.29654678700798","1.72931756228135","LTU","prevSR"
"1.86052260878941","-0.514777144024013","LTU","prevGALI"
"6.64923336213251","1.74601260633816","LTU","prevchr"
"0.859482974497353","-0.669036212734461","LUX","prevADL"
"1.7592027528164","1.43639587289619","LUX","prevSR"
"1.15811228962946","-0.419718670500878","LUX","prevGALI"
"3.14386680600608","0.131510485844615","LUX","prevchr"
"1.33940344618215","0.979668957129072","LVA","prevADL"
"5.69383629704753","1.95769553492029","LVA","prevSR"
"1.38646514333178","0.146853888534442","LVA","prevGALI"
"6.47268170294292","1.96167469639695","LVA","prevchr"
"1.625417145028","0.20745597877655","POL","prevADL"
"4.07532481747407","0.459304670179794","POL","prevSR"
"2.16656598518665","0.0980946866201053","POL","prevGALI"
"5.56808022087284","1.35146562564659","POL","prevchr"
"1.53585277303896","2.29325344039062","PRT","prevADL"
"3.2451973163352","4.65745409153947","PRT","prevSR"
"1.45428577405225","1.23918387866556","PRT","prevGALI"
"4.57299961783769","3.45334890717286","PRT","prevchr"
"0.787107820119401","1.12720470464811","SVK","prevADL"
"2.69471595531059","2.31478597120877","SVK","prevSR"
"0.951360853080439","1.68237073870294","SVK","prevGALI"
"4.16336010312459","3.74938899894006","SVK","prevchr"
"1.12288967455852","-0.6152065098218","SVN","prevADL"
"2.94724344372652","-0.225821246282401","SVN","prevSR"
"1.71934709377075","-0.243852850747259","SVN","prevGALI"
"4.50293456861785","0.310389054345713","SVN","prevchr"
"0.553961698392754","0.0556977632528719","SWE","prevADL"
"1.23951425816985","1.36068396035977","SWE","prevSR"
"0.703910567443659","1.10468015585566","SWE","prevGALI"
"2.36316140426637","0.582501494188062","SWE","prevchr"
