"country","sex","UHE_ADL","UHE_CHR","UHE_GALI","UHE_SR","ex","HE_ADL","HE_CHR","HE_GALI","HE_SR"
"AUT","male",3.02181775924386,22.8710176217801,4.43542742707457,10.925190210226,30.9738984351505,27.9520806759067,8.10288081337044,26.538471008076,20.0487082249245
"AUT","female",4.65646179405688,27.0996704151402,7.40441798496508,13.4150466640248,34.9501561128911,30.2936943188342,7.85048569775085,27.545738127926,21.5351094488663
"BEL","male",3.93033930983476,24.9873903411268,4.65277329143337,9.66080818859344,30.9454627012028,27.015123391368,5.95807236007596,26.2926894097694,21.2846545126093
"BEL","female",6.67725057741732,28.9715042381098,6.77905080508027,11.8970673895388,34.8937162418391,28.2164656644218,5.92221200372926,28.1146654367588,22.9966488523003
"BGR","male",2.95898609562901,16.7169164422445,2.83477863368687,8.03132903700057,24.569633063463,21.610646967834,7.85271662121859,21.7348544297762,16.5383040264625
"BGR","female",4.51300523315325,22.7713534366143,4.45347230740049,12.6592898964788,30.2996171460165,25.7866119128633,7.52826370940222,25.8461448386161,17.6403272495377
"CHE","male",2.39371124991954,24.6350542424592,5.00174404838102,7.66012925403276,32.8935812726129,30.4998700226934,8.25852703015372,27.8918372242319,25.2334520185802
"CHE","female",3.17709243108753,23.6227974017983,4.08813548656353,8.47810772161912,36.3298597683838,33.1527673372963,12.7070623665855,32.2417242818202,27.8517520467647
"CZE","male",3.45039800441361,24.0980940626556,4.75359038243471,7.8717432744,28.0203695926081,24.5699715881945,3.92227552995257,23.2667792101734,20.1486263182082
"CZE","female",4.73391344959323,27.8962014327101,5.67315348212137,10.2783264106255,32.9665185882738,28.2326051386806,5.07031715556377,27.2933651061525,22.6881921776484
"DEUTNP","male",3.62194675915806,25.5025664122489,6.13920846377912,12.9225736734623,30.2681672760512,26.6462205168931,4.76560086380229,24.1289588122721,17.3455936025889
"DEUTNP","female",5.22225338499924,28.8401818823411,8.23956181268693,16.1392477456295,34.4284618766679,29.2062084916687,5.58827999432679,26.188900063981,18.2892141310384
"DNK","male",3.00468717119817,22.3992788452958,3.17842656388232,8.13069694197038,30.7589894509958,27.7543022797977,8.35971060570006,27.5805628871135,22.6282925090255
"DNK","female",3.32999860058942,25.6221511489717,4.56704501984572,10.4209789646759,34.1756622939105,30.845663693321,8.55351114493872,29.6086172740647,23.7546833292346
"ESP","male",5.7766714182563,26.8710221073266,2.01794986409413,11.6825628012459,31.6957248035637,25.9190533853074,4.82470269623706,29.6777749394696,20.0131620023178
"ESP","female",6.3283390733764,30.0356868246267,4.25996559813096,17.3593915626785,36.6109142740786,30.2825752007022,6.57522744945192,32.3509486759476,19.2515227114001
"EST","male",3.20812262805921,20.2229370472896,7.1580599839508,18.0923229186639,26.5729904577066,23.3648678296474,6.35005341041699,19.4149304737558,8.48066753904275
"EST","female",5.19805866838533,26.957286720746,9.51651487978757,23.6105475102065,33.6149024926536,28.4168438242682,6.65761577190753,24.098387612866,10.0043549824471
"FIN","male",2.64667181754022,26.4082921770112,4.0012465493362,13.0667798085986,30.7918934762583,28.1452216587181,4.3836012992471,26.7906469269221,17.7251136676596
"FIN","female",3.72911341177892,30.2817815326353,4.44935743590394,14.5059285684309,35.360067055781,31.6309536440021,5.07828552314567,30.9107096198771,20.8541384873501
"FRATNP","male",3.92512714980312,24.5127899875233,5.33332133290247,11.9083719822533,31.5468617450227,27.6217345952196,7.03407175749933,26.2135404121202,19.6384897627693
"FRATNP","female",5.3328345954793,29.9510160508041,6.43411145969531,14.5188998013067,36.6016305962123,31.268796000733,6.65061454540828,30.167519136517,22.0827307949057
"GRC","male",1.65840221416707,21.3195839561436,1.67378613369434,8.11196938424493,30.5937581600359,28.9353559458689,9.27417420389236,28.9199720263416,22.481788775791
"GRC","female",3.06065080479774,26.5324299125905,2.91091948741515,12.2778044565628,34.8235030001225,31.7628521953247,8.29107308753196,31.9125835127073,22.5456985435596
"HRV","male",2.93133179460538,20.9003901534252,4.851499666746,11.3119293929039,27.049638066739,24.1183062721336,6.14924791331386,22.198138399993,15.7377086738351
"HRV","female",4.87230528952302,26.5952903474682,6.4250056761965,15.7014834373862,32.0889854834741,27.2166801939511,5.49369513600592,25.6639798072776,16.3875020460879
"HUN","male",1.93780069575135,15.9701157946206,3.62585554142106,10.9613700181312,24.830038601006,22.8922379052546,8.85992280638535,21.2041830595849,13.8686685828748
"HUN","female",3.13671756626595,24.6299585090679,6.46030821939785,18.3363466670774,30.700029933012,27.563312366746,6.07007142394411,24.2397217136141,12.3636832659346
"ITA","male",2.7983500787663,22.115063141572,4.39751101567061,12.2881237821309,32.0227446522683,29.224394573502,9.90768151069624,27.6252336365977,19.7346208701374
"ITA","female",5.47913955924823,26.3640654794003,6.43249091296141,17.551357680234,35.8649064525333,30.3857668932851,9.50084097313304,29.4324155395719,18.3135487722993
"LTU","male",2.95921352857246,19.7511474379539,4.0687127747503,13.6796271639119,24.8074719101124,21.8482583815399,5.05632447215845,20.7387591353621,11.1278447462005
"LTU","female",5.49451866233146,28.1463934064246,5.4144582395157,20.7054915132012,32.2646338029638,26.7701151406323,4.11824039653919,26.8501755634481,11.5591422897626
"LUX","male",3.45481918735202,25.4983999365136,6.61142569027362,11.6908892114982,31.27248989742,27.8176707100679,5.77408996090636,24.6610642071463,19.5816006859218
"LUX","female",3.64526594911492,28.7737772283644,7.34981930940218,14.8864878372107,34.9176418928579,31.2723759437429,6.14386466449352,27.5678225834557,20.0311540556471
"LVA","male",1.87070434091949,17.5745879794806,2.99616920390295,13.9743434622217,24.0863286590809,22.2156243181614,6.51174067960028,21.090159455178,10.1119851968592
"LVA","female",4.1897767442307,26.0089443788205,4.52948823576915,21.6258752941895,31.5461044050792,27.3563276608485,5.53716002625871,27.01661616931,9.92022911088968
"POL","male",3.69385265267914,21.3002491540206,6.0402691452839,13.23191655652,26.7040389671969,23.0101863145177,5.40378981317626,20.663769821913,13.4721224106768
"POL","female",5.52672577648367,28.21979500054,8.30492981709067,17.7665460441739,32.8661399502088,27.3394141737252,4.6463449496688,24.5612101331182,15.0995939060349
"SVK","male",1.4052116736069,13.7157991108327,1.91866722512909,6.25430695142977,26.3414293482317,24.9362176746248,12.625630237399,24.4227621231026,20.0871223968019
"SVK","female",3.3195241983744,21.6285482128973,4.55239881691248,11.2638088779492,32.029781840291,28.7102576419166,10.4012336273938,27.4773830233785,20.7659729623419
"SVN","male",3.28570096454857,22.2777318893269,6.1268418398655,11.6268354072175,29.6418486035952,26.3561476390466,7.36411671426828,23.5150067637297,18.0150131963777
"SVN","female",3.79338412928529,27.0910555122905,7.60233608288902,14.3482576046616,34.6873176801779,30.8939335508926,7.59626216788739,27.0849815972889,20.3390600755163
"SWE","male",2.76835451038507,22.4878807331529,4.33702989811664,8.43549313387082,32.3784387770938,29.6100842667087,9.89055804394089,28.0414088789771,23.942945643223
"SWE","female",3.3780139720307,25.4335436316074,6.14562062141597,11.0356913524004,35.1333129397369,31.7552989677062,9.69976930812957,28.9876923183209,24.0976215873365
"PRT","male",4.64953533543214,22.1156809579311,4.50347681755,14.0320254470368,30.5542657547426,25.9047304193105,8.43858479681151,26.0507889371926,16.5222403077058
"PRT","female",8.47864154886172,30.1420294829417,7.19694647026781,21.9346768549116,35.6979037719828,27.219262223121,5.55587428904111,28.500957301715,13.7632269170712
